"Class","Category","Name","FullPath","SizeMB","LastWrite","IsCanonical"
"LEGACY_PROJECT","RuneforgeCore","package.json","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\package.json","0.001","20/03/2026 06:15:07 a. m.","True"
"DOCUMENTATION","RuneforgeCore","README.md","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\README.md","0.001","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","start-runeforge.cmd","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\start-runeforge.cmd","0","27/03/2026 07:04:56 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","app.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\app.js","0.001","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","server.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\server.js","0","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","logger.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\shared\logger.js","0.001","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","trace.middleware.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\trace\trace.middleware.js","0","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","sentinel.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\sentinel\sentinel.routes.js","0","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","relay.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\relay\relay.routes.js","0","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","forge.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\forge\forge.routes.js","0.002","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","codex.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\codex\codex.routes.js","0","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","chat.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\chat\chat.routes.js","0","26/03/2026 06:54:00 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","chat.service.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\chat\chat.service.js","0.001","26/03/2026 06:55:32 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","chat.trace.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\chat\chat.trace.js","0","27/03/2026 01:04:53 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","skill-router.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\chat\skill-router.js","0.001","26/03/2026 06:57:16 p. m.","True"
"LEGACY_PROJECT","RuneforgeCore","general.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\chat\skills\general.js","0","27/03/2026 01:04:53 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","system.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\chat\skills\system.js","0.001","27/03/2026 01:04:53 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","telemetria.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\chat\skills\telemetria.js","0.002","27/03/2026 01:04:53 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","beacon.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\modules\beacon\beacon.routes.js","0.001","20/03/2026 06:15:07 a. m.","True"
